Product Name,Brand Name,Reviews
Hybrid Workloads (Phoenix),Enterprise,"Great product, great service",
Endpoints,EP,Thank you for your quick response. It would ease the burden on Druva support if questions like the one in this case were included in the guide describing the upgrade.,
Hybrid Workloads (Phoenix),Enterprise,Good job for Sudhakar Bajpai ver professional nice to work with Thank you,
Hybrid Workloads (Phoenix),Enterprise,Good job for Sudhakar Bajpai very professional nice to work with Thank you,
Native Workloads (CloudRanger),Enterprise,Good Job nice to work with ver professional thanks Amarjitsingh Flora,
Native Workloads (CloudRanger),Enterprise,Good job ok to work with very professional thanks Amarjitsingh Flora,
Native Workloads (CloudRanger),Enterprise,Good Job Amarjitsingh Flora nice to work with very knowledgable thank you,
Hybrid Workloads (Phoenix),Enterprise,"Great team, close to the need of the customers,",
Endpoints,EP,Exceptional support experience. Customer is very happy with speedy resolution. Kudos to the Support team!,
Hybrid Workloads (Phoenix),Enterprise,Giri did great job providing support. Thank You,
Endpoints,EP,"Thanks to Nabil & Seth, our backup activation issue was resolved.",
Hybrid Workloads (Phoenix),Enterprise,agent was very professional and courteous and solved our problem. very happy with the support from druva.,
Endpoints,EP,Happy with Fast response,
Endpoints,EP,Wonderful,
Hybrid Workloads (Phoenix),Enterprise,"Love working with Vishal on customer support cases. Solutions are provided quickly, and knowledge transfer is always given during his calls.",
SaaS Apps,SaaS,"The support portal had issues with password reset because we also use salesforce, so we needed to reset password using Incognito/Private browsing. Of course my account got locked in the process.",
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,good,
Hybrid Workloads (Phoenix),Enterprise,Ian Wilson was very knowledgeable andhelpful. It's great to have this level of experience and wisdom to aid in solving problems.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Some enhancements already submitted to implement in Druva Console.,
SaaS Apps,SaaS,"Faizan knew pretty much what the issue was with the SCIM as soon as he logged on a screenshare - he advised the token expires after 365 days. I would advise as a product update for this to be mentioned inside the Druva console when creating a new token, or on the screen associated as a preventative maintenance issue.",
Hybrid Workloads (Phoenix),Enterprise,Very fast response. Please keep up. Thanks!,
Hybrid Workloads (Phoenix),Enterprise,Giri provided an excellent customer experience and his technical knowledge was superb.,
Hybrid Workloads (Phoenix),Enterprise,"Tulika provided very good support and service, she was really helpful and responsible. Thank you.",
Endpoints,EP,Always thank you for your help. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Excellent support service. Fast and Helpful! Keep it up!!,
Hybrid Workloads (Phoenix),Enterprise,Pradeep Nair is an excellent engineer and has been extremely helpful in every aspect of our Druva needs. He is an asset to us and to Druva. Thank you!,
Hybrid Workloads (Phoenix),Enterprise,"Great communicator, easygoing, and helpful!",
Endpoints,EP,Fast response and knowledgeable. Keep up the great work!,
Hybrid Workloads (Phoenix),Enterprise,Abhishek was very helpful and resolved my issue. Great communication!,
SaaS Apps,SaaS,Very easy to work with,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. Thank you for your continued support.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. Thank you for your continued support.,
Endpoints,EP,Excellent,
Endpoints,EP,Reach out to me if you wish to get further feedback as the support experience is not acceptable.,
Hybrid Workloads (Phoenix),Enterprise,Very professional,
Endpoints,EP,The help was very well and accurate and fast,
inSync On-Premise,EP,Very clear and specific. Good Communication Skills and good guidance. Quick solver.,
SaaS Apps,SaaS,Thank you for your prompt response. Thank you for your cooperation.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Sudhakar Bajpai IS VERY PROFESSIONAL AND NICE TO WORK WITH HE IS VERY NICE AND HAPPY TO HELP IN ALL OF THE CASES GOOD JOB Sudhakar Bajpai Thank you,
Hybrid Workloads (Phoenix),Enterprise,Great support as usual! Engineers are always patient and friendly : ),
Endpoints,EP,as I am continuously taking follow-up for Icewarp API but not resolved still .,
SaaS Apps,SaaS,Rahul has been organized and has followed up consistently. And Kashyup was incredibly helpful in getting better acquainted with the tool overall with his deep knowledge. Thank you!,
Hybrid Workloads (Phoenix),Enterprise,Engineer was prompt to the issue and it was resolved in timely manner.,
Hybrid Workloads (Phoenix),Enterprise,Good Job Sudhakar Bajpai very helpful,
Endpoints,EP,"Thank you for your support forever, Endever.",
SaaS Apps,SaaS,The support team have been excellent. Quickly diagnosing and resolving the issues we have encountered.,
SaaS Apps,SaaS,Excellent support team. Quickly dealt with the issues we had with failed backups. Very good knowledge of the system.,
Endpoints,EP,Thank you for the exceptional customer service,
Hybrid Workloads (Phoenix),Enterprise,It was quick fix for the NAS Proxy,
Endpoints,EP,"Thank you for your prompt response. Those who responded to this case were able to respond flexibly even in my poor response. I am grateful to the person in charge for their enthusiasm for trying to resolve the questioner's doubts. The following is my hope. When conducting a survey in a remote session, if possible, if there are people who can operate the Japanese environment or who can speak Japanese, I think that we can use the time related to the survey more smoothly and effectively for us. We are well aware that our English speaking ability is also problematic.",
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Good Resoponse,
Endpoints,EP,"Thank you for your response. I apologize for the prolonged response due to my poor English. ### The following is my request. ### It will be if the Druva support system is possible. There are many cases where a remote session can be more effective than an email exchange. In such cases, language differences (Japanese/English) can be a barrier. If possible, we would like you to consider adding a person who can operate a device in a Japanese environment and a person who can talk in Japanese as a support member. On the contrary, our company is looking for someone who can speak English normally, but it is difficult to get together. We are aware that this is due to our problem (lack of communication skills in English), which is originally responsible for Druva support in the Japanese market.",
Endpoints,EP,Thanks for the support,
Hybrid Workloads (Phoenix),Enterprise,"I was very happy with Raj, the Support Engineer. Knowledgeable, courteous and helpful.",
SaaS Apps,SaaS,"Faizan was extremely helpful, and very courteous while helping me get the initial sync setup correctly. Once complete, he pointed me in the right direction for the next steps I would need to accomplish, which I was able to do.",
Hybrid Workloads (Phoenix),Enterprise,"For this case, the error message was not correct. The job was running but there was no indication.",
Hybrid Workloads (Phoenix),Enterprise,The product is great. Only need to add system state data backup in your package. Your support staff Muzaffar is excellent.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
SaaS Apps,SaaS,As always good support when needed.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Excellent Service,
SaaS Apps,SaaS,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,"This was a poor experience, There was clearly a SAAS outage that was never admitted to and by the time someone got back to me the outage had cleared. Not the service level I've come to expect from Druva.",
SaaS Apps,SaaS,good,
Hybrid Workloads (Phoenix),Enterprise,Engineer was patience and good,
Hybrid Workloads (Phoenix),Enterprise,thanks for the support,
Hybrid Workloads (Phoenix),Enterprise,It helped me solve a difficult problem with backup proxies! Thank you!,
SaaS Apps,SaaS,Please stop calling without first communicating a time and acceptance.,
Endpoints,EP,"We are having an issue with Preserved Licenses not being reflects in the Admin portal. When I add notes to a case, they aren't being read.",
Endpoints,EP,"I truly believe you are having issues stemming from AWS timeouts that caused my problems. I used to be able to correct a Legal Hold that did not have a user assigned without deleting that Legal Hold. It seems convoluted to add a custodian temporarily to a different Legal Hold, so that they will now appear in the unpopulated Legal Hold. Then go back and delete them from their temporary assignment to the Legal Hold they have no association with.",
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your support. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
SaaS Apps,SaaS,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Olivier Tchuitio was great and very informative on all questions I presented.,
Endpoints,EP,Great support resolved in a timely manner. Thanks again!,
Endpoints,EP,as of now used only insync backup solution and found to be working perfectly.,
Endpoints,EP,We have to wait almost 2 week to free space for storage and backup was not able to take.,
SaaS Apps,SaaS,"The documentation is frequently either missing or wrong. For this support incident, the documentation says to call support to have them add the admins. The support tech sent a quick email with how to do it in the app. If this was in the online KB or documentation, I wouldn't have needed to contact support.",
Endpoints,EP,I am the only Desktop Support person for our company and I appreciate your support engineers patience with me in trying to address some issues and our inSync roll out.,
Native Workloads (CloudRanger),Enterprise,"I called for support and was on hold for an hour and a half. I finally chose the option to leave my number for a call back and never received a call back, or if I did, I didn't answer and no message was left. No email communication was sent. 5 days later, you closed my ticket. We're still locked out of our account and we're ready to find another solution at this point since it's very difficult to get help from you guys. I'n going to try to open another case and hopefully I can get in touch with someone this time.",
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Great support,
Hybrid Workloads (Phoenix),Enterprise,Great support feedback and very quick responses.,
Hybrid Workloads (Phoenix),Enterprise,Great help from KIslay as always! Thank you Kislay!,
Endpoints,EP,"we not received support on time, if support team taking followup after 3 to 5 day of generating ticket in that period backup not done, so without any support then we take decision to reset the device and reinstall client. this happens with 3 rd time, so here i definitely unhappy with support experience.",
Endpoints,EP,Thanks for help,
SaaS Apps,SaaS,Love Druva. Simple to use. Support was great and the support portal and documentation is great.,
Hybrid Workloads (Phoenix),Enterprise,Thank you Ian,
Hybrid Workloads (Phoenix),Enterprise,Appreciate the support provided by Vishal on this case,
Endpoints,EP,Quick response with great detail and solution provided in minutes.,
SaaS Apps,SaaS,This survey is annoying! STOP SURVEY 5 STAR FOR SUPPORT ENGINE 0 STAR OR NEGATIVE 100 STAR FOR SURVEY FUCK OFF,
Hybrid Workloads (Phoenix),Enterprise,Giri was fabulous and resolved the PM lab issue within an hour. Thank you.,
Hybrid Workloads (Phoenix),Enterprise,I would like to see the refreshing to happen automatically,
Hybrid Workloads (Phoenix),Enterprise,Phoenix AWS PrivateLink operation and setup should be better documented. Also provided CloudFormation templates should be really well documented that customers would know exactly what it does.,
Hybrid Workloads (Phoenix),Enterprise,Specifically for feature changes to the sql restore I would like to see the feature of being able to also select the place for the full txt catalog,
Endpoints,EP,"Great support as always, thanks!",
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thanks for the quick support extended. Regards,
Endpoints,EP,Support was good.,
Endpoints,EP,Excellent Service,
SaaS Apps,SaaS,Difficult to get through on phones. Callbacks took a long time.,
Hybrid Workloads (Phoenix),Enterprise,Nil,
Endpoints,EP,"Awesome support in tackling this issue, even though it did not affected druva, but it did impacted another software. As always Druva support is excellent",
Hybrid Workloads (Phoenix),Enterprise,"Great work by Sudhakar on this case, thank you Sudhakar!",
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
SaaS Apps,SaaS,I hate these surveys but this tech was soooooo good I wanted to take it. Give the guy a raise. Please.,
Hybrid Workloads (Phoenix),Enterprise,Thank you very much for your quick response and I look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thanks for the Support :),
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Faizan was excellent! He knew exactly what to do to fix the issue and we were back up and running in no time. We really appreciate the help.,
Endpoints,EP,Excellent help from support team on the poc with customer today. Thanks for the support!,
Hybrid Workloads (Phoenix),Enterprise,Excellent support service. keep up the good work!,
SaaS Apps,SaaS,The support team gave instructions to an option on the Support portal that no longer existed which resulted in a ticket being raised only to discover the option had been removed and replaced with a new option. The support team had not been informed of the change.,
Endpoints,EP,Aaquib was an excellent resource for this issue. He went the extra step to create a test environment and figure out the root cause; was very patient and kind as he explained the user errors i made and walked me through the changes to the profile. This has enabled a big win for my team!,
Hybrid Workloads (Phoenix),Enterprise,"Great support engineer, he helped me a lot. Thank you",
Endpoints,EP,I am always grateful for your help. Thank you for your prompt response.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,excellent support,
SaaS Apps,SaaS,"Software is good, interface and UI is A+++, except for the jobs screen, and the support was extremely good.",
SaaS Apps,SaaS,Excellent timely support from Faizan,
Endpoints,EP,Took a little longer than I expected to get the initial response but overall great and the response was on point. Thank you!,
SaaS Apps,SaaS,"Fast response from Shoeb, thank you!",
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Customer support was very quick in responding and helping to get the issue fixed in this case,
SaaS Apps,SaaS,Would be nice if I can log a support call from the Customer's Druva Portal rather than having to login to Datacom's Druva Portal to log the support call.,
Hybrid Workloads (Phoenix),Enterprise,"support agent was extremely knowledgeable and helpful, really great support",
SaaS Apps,SaaS,:),
SaaS Apps,SaaS,https://docs.druva.com/Knowledge_Base/Druva_Cloud_Platform_(DCP)_Console/How_to/How_to_configure_SSO_for_Druva_Cloud_Platform_using_Azure_AD_as_IdP needs to be updated to include 'legacy' customers like us and how to know which set of values to use.,
Native Workloads (CloudRanger),Enterprise,"Support Representative was very polite, prompt and knowledgeable.",
Endpoints,EP,Thank you for your quick response. We look forward to working with you in the future.,
SaaS Apps,SaaS,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,First rate support. Very happy.,
Endpoints,EP,good support and easy reachable,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Nabil was very helpful on the remote session requested to setup the Android phone backup.,
Hybrid Workloads (Phoenix),Enterprise,"At least try to read the customers ticket and understand what they are asking before offering time-wasting, generic, useless ""advice""",
Endpoints,EP,Quickly isolated my issue and we have a fix.,
Hybrid Workloads (Phoenix),Enterprise,Girish is very supportive.,
SaaS Apps,SaaS,This case took over 2 months to resolve. And I am not satisfied with the way it was handled. Druva should have been more forthcoming to resolving this with urgency. Even though this case required engaging the backend engineering team but it sounded like they were also not too sure about how Druva handles backups in Google Suite.,
SaaS Apps,SaaS,Very good support,
Hybrid Workloads (Phoenix),Enterprise,"Great support from Vishal and Kunal, as always! Thank you.",
Endpoints,EP,Person who assisted me was very helpful.,
Hybrid Workloads (Phoenix),Enterprise,Rajkunwer Singh was very knowledge able and able to solve my issue in just a few minutes. Mike Goodrich was quick to help escalate this issue and provide follow up.,
Hybrid Workloads (Phoenix),Enterprise,"Quick and direct answers with visual support, worth a ton in comparison over just documentation",
Hybrid Workloads (Phoenix),Enterprise,Rajkunwer was very helpful in resolving our problem. We are new using Druva and with Rajkunwer knowledge were able to solve our problem. Rajkunwer did a great job of educating us on the product as well.,
Hybrid Workloads (Phoenix),Enterprise,"Rajkunwer walked me through reinstalling the agent that failed to upgrade. Was prompt in getting back to me and explained the problem and process to recover. If this happens again, I will be able to recover the agent on my own.",
Hybrid Workloads (Phoenix),Enterprise,great service,
Hybrid Workloads (Phoenix),Enterprise,Didn't use documentation on this occasion,
Hybrid Workloads (Phoenix),Enterprise,Happy with the diligence in driving towards a resolution.,
Hybrid Workloads (Phoenix),Enterprise,Olivier was excellent support!,
Hybrid Workloads (Phoenix),Enterprise,I am very happy with the support,
SaaS Apps,SaaS,"As an administrator found that I cannot request a password reset if I don't remember it and if the other administrator in the company is also unable to login we have to delete our instances and restart the backups from scratch, which I felt is very extreme to reset a password. If this could be made simpler it would be good. It's easy to forget the 12 character long password. Anyway, in this case the other admin who was away when I couldn't login was able to reset my password later. Found this issue (which looks simple) to be a bit frustrating.",
Hybrid Workloads (Phoenix),Enterprise,appreciate your support,
SaaS Apps,SaaS,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
SaaS Apps,SaaS,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
SaaS Apps,SaaS,.,
Hybrid Workloads (Phoenix),Enterprise,"Rajkunwer Singh was a great help, very polite and professional",
Hybrid Workloads (Phoenix),Enterprise,"Rajkunwer Singh was polite, professional and very helpfull",
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Hybrid Workloads (Phoenix),Enterprise,I hope on going will have local support contact,
inSync On-Premise,EP,It was very good experience,
SaaS Apps,SaaS,Akshay Nair was very helpful in assisting me to setup SCIM deployments with the complex requirements that I had for the organisation. Big Thank you to Akshay!,
Hybrid Workloads (Phoenix),Enterprise,Vishal Sarode is very sound with the Product knowledge and he helped to put the customer on right track wrt to an old issue too. Great knowledge and skills shown.,
Hybrid Workloads (Phoenix),Enterprise,"Tech was great! Fast and friendly, a pleasure to work with.",
Hybrid Workloads (Phoenix),Enterprise,Nice fast response for POC customer and issue resolved quickly.,
Hybrid Workloads (Phoenix),Enterprise,Raj was fast to diagnose the issue and provide a solution and got it right the first time,
Hybrid Workloads (Phoenix),Enterprise,appreciate the support,
SaaS Apps,SaaS,Thank you for the quick response and addressing the customers request efficiently.,
Endpoints,EP,"I am very appreciative that I got to speak to two human beings! Well done! In an age when ""customer support"" is defined as ""community bulletin board"", I am often frustrated. Typically, I don't know the terminology required to pinpoint solutions for bulletin board solutions.",
Endpoints,EP,Support engineers have good technical knowledge. even they are very patience while listening the issue. Thanks team for the support.. I just want to get proper update or resolution on time..!!,
SaaS Apps,SaaS,Faizan was extremely knowledgeable and work diligently to help with our issue.,
SaaS Apps,SaaS,None for now.,
Endpoints,EP,"Engineer was excellent, very knowledgeable, courteous and quick to get to the bottom of the issue and resolve.",
SaaS Apps,SaaS,Fully satisfied the way Engg support me. Thank you,
SaaS Apps,SaaS,"Druva support staff continue to be one of the best support experiences I've had. Their speed, availability and knowledge have exceeded pretty much every other company I've dealt with. Combine that with a good UI and reliable service and I've happily recommended Druva to colleagues and friends.",
Endpoints,EP,Keep up the good work,
Hybrid Workloads (Phoenix),Enterprise,"Thanks Giri you were very helpful,",
Hybrid Workloads (Phoenix),Enterprise,Very good support - very happy with the service i received,
Hybrid Workloads (Phoenix),Enterprise,"Till now, in my opinion Druva is best solution 👍",
SaaS Apps,SaaS,the resolution seemed to take longer than expected.,
Endpoints,EP,"Its easy to handle and good product and knowledgeable support team for providing support to customer, i am very happy with druva.",
Endpoints,EP,Engineer was very helpful and supportive,
SaaS Apps,SaaS,The automated meeting system - for Zoom meetings - should automatically notify participants if a meeting needs to be moved or cancelled whenever a support Engineer cannot be available for a previously scheduled meeting.,
Endpoints,EP,Rahul Ghemud was very helpful and friendly and walked me through all of my questions.,
Hybrid Workloads (Phoenix),Enterprise,Rajkumar was very helpful on the issue i had. He went above and beyond for getting me back online with Druva. He also followed up on timely fashion and provided all the knowledge and understanding as he was helping me the problem i had.,
Hybrid Workloads (Phoenix),Enterprise,Rajkumar was very helpful on the issue i had. He went above and beyond for getting me back online with Druva. He also followed up on timely fashion and provided all the knowledge and understanding as he was helping me the problem i had.,
Hybrid Workloads (Phoenix),Enterprise,Rajkuwar was very helpful on the issue we had. He help me explain and resolved all the issue i had with backup. followed up next morning to make sure backup was running.,
Endpoints,EP,"Actually Backup should run automatically, whenever user is power ON the system. But it is not happening some users.",
Hybrid Workloads (Phoenix),Enterprise,"Outstanding support received today. Thank you Pradeep and Giri. Both engineers are very knowledgable and willing to help beyond the scope of the original ticket. Regards, Sijo",
Endpoints,EP,Great experience!,
SaaS Apps,SaaS,I am very appreciative of the quick response from the support engineer. He was very quick to respond to my emails.,
Hybrid Workloads (Phoenix),Enterprise,There must be tutorial videos available in detail for configuration and implementation of all three products,
Hybrid Workloads (Phoenix),Enterprise,Always the best tech support!!,
SaaS Apps,SaaS,Na,
Hybrid Workloads (Phoenix),Enterprise,Abhishek is very patient when it comes to resolve the issue.,
Endpoints,EP,Faizan was super helpful and solved all the customers issues quickly and effectively.,
Native Workloads (CloudRanger),Enterprise,Like the additional and new feature set rollouts. Impressed with the reporting over other like cloud products.,
Hybrid Workloads (Phoenix),Enterprise,Sudhakar was vary helpful,
SaaS Apps,SaaS,"Although it took a very long time for a solution, everyone on the Druva team was great to work with and was very helpful. Thank you.",
Hybrid Workloads (Phoenix),Enterprise,please schedule meetings instead of calling first without a response on the ticket,
Hybrid Workloads (Phoenix),Enterprise,Till now in market druva is the best solution i found,
Hybrid Workloads (Phoenix),Enterprise,Druva products are great and they are even better because of the tech support people who know the products inside out.,
Hybrid Workloads (Phoenix),Enterprise,great knowledge,
inSync On-Premise,EP,Thanks for the support. My tech was knowledgeable and fix in finding a resolution. Much appreciated.,
Hybrid Workloads (Phoenix),Enterprise,"Keep up the great work the technical support, and product development 👍",
Hybrid Workloads (Phoenix),Enterprise,"Muzaffar has been wonderful, He fixed the issue real quick.",
Hybrid Workloads (Phoenix),Enterprise,"Tech support is FANTASTIC, as always. However, for this one issue, it was an internal Druva SSO issue that was not notified to us so we were not sure how to handle. We were notified because of this ticket that was entered. Would've liked to have seen a note about it.",
Hybrid Workloads (Phoenix),Enterprise,"Support is always on their game, and quick to respond.",
Endpoints,EP,Good,
Hybrid Workloads (Phoenix),Enterprise,None at this time.,
SaaS Apps,SaaS,Keep on keeping on,
Endpoints,EP,Nice Software,
SaaS Apps,SaaS,"While your support portal is not always the most helpful or easy to get specific solutions from, your support engineers are always helpful, polite and get me the information I need quickly. 1",
Hybrid Workloads (Phoenix),Enterprise,"Great support from Kunal as always, thank you!",
Endpoints,EP,The customer service rep that i worked with did an exceptional job. He was prompt to respond and help me figure out what was going on.,
Hybrid Workloads (Phoenix),Enterprise,VMware - All Jobs screen - cannot scroll more that 1 page,
Endpoints,EP,"The support engineer communicated well and was very polite, however I don't believe he understood the question. Additionally, his understanding of the product seemed to be surface level. I was hoping that he would have access to backend features that would allow him to pinpoint what data was consuming the excess space on the service's storage.",
SaaS Apps,SaaS,Great support from Shoaib,
Hybrid Workloads (Phoenix),Enterprise,Engineers did a great job of explaining the issue and helping with the resolution - quick and prerational.,
Endpoints,EP,Excellent tech support...,
SaaS Apps,SaaS,Dealt with Faizan a couple times and he was been very helpful and pleasant to deal with.,
Hybrid Workloads (Phoenix),Enterprise,Olivier was great helping us through a complex problem. It took several days but he stayed with the process and helped resolve the issue.,
SaaS Apps,SaaS,"Great work from Shoeb, thank you! 5 stars :)",
Hybrid Workloads (Phoenix),Enterprise,We felt the support we were given was good and we are happy that we were able to resolve our back up issue.,
SaaS Apps,SaaS,"Support is always very quick to respond, and very knowledgeable.",
Endpoints,EP,"Improve your documentation to actually match the product. The tier one support person had no idea what he was doing on our case, thankfully I escalated the case and got someone that could help before tier 1 had me completely redo my Druva install. Also the Tier 1 tech made it sound like he solved our case in his email response, and that could not have been further from the truth.",
Endpoints,EP,Aaquib Mulla was very knowledgeable and thorough. I so appreciate his help!,
SaaS Apps,SaaS,Rohit was very helpful! Thanks for the assistance.,
SaaS Apps,SaaS,Rohit was very helpful and answered all my questions.,
Hybrid Workloads (Phoenix),Enterprise,There is no link to the support portal in the gov dashboard,
Hybrid Workloads (Phoenix),Enterprise,"The engineer was brilliant, he had excellent knowledge of the product, that makes troubleshooting easier and quicker for the customer.",
Endpoints,EP,"quick and helpful response to fix the issue, however, if a customer does not have a renewal, I wish a phone call, or an email marked URGENT!",
SaaS Apps,SaaS,Thank you for all the great support!,
Endpoints,EP,"Faizan Sayyed's English was understandable, he was very professional, personable and resolved the issue in an expedient manner.",
SaaS Apps,SaaS,Support needs to keep the ticket open even if it is elevated to Engineering. Closing the ticket will not correctly track ticket time to close metrics.,
Hybrid Workloads (Phoenix),Enterprise,"Excellent Solution for us, and the support is always fast to respond and get issues resolved Thank you",
Endpoints,EP,Thanks to Aaquib M. for his assistance and time today. Best. Christophe,
SaaS Apps,SaaS,Druva's documentation to setup SSO for Druva using Azure had several mistakes. I sent the errors to the engineer.,
Endpoints,EP,Druva reps went above and beyond. I received multiple emails and live phone calls until my issue was resolved. Wonderful customer service. Thank you. Madhup Nagpal and Faizan Sayyed were excellent. Their attention to detail is very much appreciated. Thank you.,
Hybrid Workloads (Phoenix),Enterprise,Rajkunwer Singh was very helpful and knowledgeable.,
Hybrid Workloads (Phoenix),Enterprise,Giri was very helpful and worked to resolve our issue in a timely manner.,
Endpoints,EP,"Amar was very supportive during the entire process of support given, thanks so much Amar!",
Endpoints,EP,keep up the great work!,
Endpoints,EP,Extremely helpful technician. Did not fake it. he researched the issue and came back with a viable solution! WooWoo Druva. You do a great job.,
Hybrid Workloads (Phoenix),Enterprise,"Vishal did a great job keeping the POC alive with all the VMware issues we've had. Not all Druva issues by any means, but we need to right the ship, and Vishal did that for us.",
SaaS Apps,SaaS,keep it up Shoeb!,
Endpoints,EP,Akshay was fantastic with the support provided. He was very easy to talk to and kept a good conversation. He helped me learn about the product more and offered so much help for this case and future projects too. He is incredible and an asset to your team. Thank you again for the assistance.,
Hybrid Workloads (Phoenix),Enterprise,Thank you for the assistance!,
Endpoints,EP,you need an Azure-native VM & data backup tool!,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
Endpoints,EP,Thank you for your prompt response. We look forward to working with you in the future.,
